mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave suave_planta,11-Jul-2025-16-02-51,"(-16.99, 2.82)",250,True,166,12.5,1.279106404
suave suave_planta,11-Jul-2025-16-08-23,"(-16.99, 2.84)",250,True,62,25.1111812591553,1.203400898
suave suave_planta,11-Jul-2025-16-13-55,"(-16.99, 2.82)",250,True,60,18.5,1.248787926
suave suave_planta,11-Jul-2025-16-19-25,"(-16.99, 2.83)",250,True,62,24.1106243133545,1.837194902
suave suave_planta,11-Jul-2025-16-24-58,"(-16.99, 2.8)",250,True,61,27.1122932434082,1.2424415785
suave suave_planta,11-Jul-2025-16-30-29,"(-17.0, 3.15)",250,True,155,11.5,1.437364666
suave suave_planta,11-Jul-2025-16-48-51,"(-17.0, 3.15)",250,True,182,10.5,1.2209351605
suave suave_planta,11-Jul-2025-16-54-23,"(-17.0, 3.15)",250,True,187,6,1.912315892
suave suave_planta,11-Jul-2025-19-26-07,"(-16.99, 3.18)",250,True,181,10.5,1.924195805
suave suave_planta,11-Jul-2025-19-31-37,"(-17.0, 3.15)",250,True,173,11,1.842977058
suave suave_planta,11-Jul-2025-16-59-56,"(-16.99, 3.32)",250,True,156,7.5,1.250536853
suave suave_planta,11-Jul-2025-17-11-54,"(-16.99, 3.31)",250,True,74,18.5,1.855037631
suave suave_planta,11-Jul-2025-17-17-26,"(-16.99, 3.31)",250,True,159,14.5,1.351340591
suave suave_planta,11-Jul-2025-17-22-57,"(-16.99, 3.31)",250,True,194,8.5,1.820727897
suave suave_planta,11-Jul-2025-19-54-30,"(-17.0, 3.28)",250,True,157,9.5,1.215202432
suave suave_planta,11-Jul-2025-17-28-29,"(-17.0, 2.55)",250,True,58,31.1147975921631,1.207821043
suave suave_planta,11-Jul-2025-17-34-00,"(-16.99, 2.57)",250,True,57,26.6122932434082,1.811314465
suave suave_planta,11-Jul-2025-17-39-32,"(-16.99, 2.55)",250,True,64,20.5436935424805,1.795538822
suave suave_planta,11-Jul-2025-17-45-04,"(-17.0, 2.55)",250,True,59,28.6134071350098,1.78182304
suave suave_planta,11-Jul-2025-17-50-35,"(-16.99, 2.58)",250,True,58,24.1109027862549,1.156509836
suave suave_planta,11-Jul-2025-17-56-06,"(-17.0, 3.31)",250,True,159,11,1.838263251
suave suave_planta,11-Jul-2025-18-01-37,"(-16.99, 3.31)",250,True,166,5.5,1.288857497
suave suave_planta,11-Jul-2025-18-07-08,"(-16.99, 3.32)",250,True,176,11,1.3286786495
suave suave_planta,11-Jul-2025-18-12-41,"(-17.0, 3.31)",250,True,155,10,1.278224636
suave suave_planta,11-Jul-2025-18-18-13,"(-17.0, 3.31)",250,True,167,9,1.2230652075
suave suave_planta,11-Jul-2025-21-13-35,"(-17.0, 3.16)",250,True,185,10,1.859050724
suave suave_planta,11-Jul-2025-18-35-36,"(-16.99, 3.19)",250,True,155,13,1.264731591
suave suave_planta,11-Jul-2025-18-41-07,"(-16.99, 3.17)",250,True,160,14.5,1.3322004165
suave suave_planta,11-Jul-2025-18-46-39,"(-17.0, 3.16)",250,True,156,14.5,1.2736318335
suave suave_planta,11-Jul-2025-21-19-07,"(-16.99, 3.17)",250,True,157,9.5,1.243500786
