,none,random,bt,metacontrol,rosa,planta
none,,2.6878851352536894e-06,0.9928786375833621,0.7704697690469087,0.6248305152901199,0.007333160096785472
random,0.9999974948655651,,0.9999999975507935,0.9999999951135603,0.9999999941538409,0.9998024475765808
bt,0.007419750842116707,2.6770499436840913e-09,,0.010797917103440963,0.017406060665320564,0.0003051699102174055
metacontrol,0.23404602034034927,5.3316861536851205e-09,0.9896173340093767,,0.2667822314470491,0.00018696572359618304
rosa,0.3807952703624097,6.3759686131487954e-09,0.98322120125512,0.7380669404865702,,0.00011188027540322614
planta,0.9929617726615537,0.00020893147271508483,0.9997110508103452,0.9998232884961832,0.9998944514105225,
