mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave metacontrol,01-Jul-2025-14-50-00,"(-17.0, 2.8)",251,True,54,53.1126098632813,2.038024382
suave metacontrol,01-Jul-2025-14-55-29,"(-17.0, 2.8)",251,True,53,52.1123313903809,2.161310978
suave metacontrol,01-Jul-2025-15-00-52,"(-17.0, 2.8)",251,True,52,54.6137237548828,2.003865006
suave metacontrol,01-Jul-2025-15-06-16,"(-16.99, 2.84)",251,True,55,54.6134452819824,2.266161967
suave metacontrol,01-Jul-2025-15-11-40,"(-16.99, 2.84)",251,True,118,35.6137390136719,2.031916313
suave metacontrol,01-Jul-2025-15-17-04,"(-16.99, 3.19)",251,True,123,34.1139678955078,1.554172116
suave metacontrol,01-Jul-2025-15-22-28,"(-16.99, 3.19)",251,True,121,30.6144943237305,1.530622573
suave metacontrol,01-Jul-2025-15-27-52,"(-17.0, 3.15)",251,True,122,34.1139678955078,1.477132139
suave metacontrol,01-Jul-2025-15-33-15,"(-16.99, 3.17)",251,True,129,33.1141166687012,1.497410797
suave metacontrol,01-Jul-2025-03-51-34,"(-17.0, 3.14)",251,True,130,24.6125717163086,1.511232148
suave metacontrol,01-Jul-2025-15-44-03,"(-16.99, 3.3)",251,True,71,39.6136627197266,1.595003291
suave metacontrol,01-Jul-2025-15-49-27,"(-16.99, 3.32)",251,True,120,35.1138153076172,1.591635977
suave metacontrol,01-Jul-2025-15-54-55,"(-17.0, 3.28)",251,True,133,22.1111812591553,1.587749253
suave metacontrol,01-Jul-2025-16-00-19,"(-16.99, 3.32)",251,True,122,34.6138916015625,1.519025051
suave metacontrol,01-Jul-2025-16-05-43,"(-16.99, 3.32)",251,True,129,32.6141929626465,1.475639164
suave metacontrol,01-Jul-2025-16-11-07,"(-16.99, 2.55)",251,True,52,53.1128883361816,0.979735475
suave metacontrol,01-Jul-2025-16-16-30,"(-17.0, 2.55)",251,True,50,57.1151161193848,0.995073429
suave metacontrol,01-Jul-2025-16-21-54,"(-17.0, 2.55)",251,True,50,56.114559173584,0.946874269
suave metacontrol,01-Jul-2025-16-27-17,"(-17.0, 2.55)",251,True,53,49.612003326416,2.059539087
suave metacontrol,01-Jul-2025-05-07-15,"(-16.99, 2.56)",251,True,52,52.1123313903809,1.034749786
suave metacontrol,01-Jul-2025-16-38-09,"(-16.99, 3.35)",251,True,124,34.1138153076172,0.941930998
suave metacontrol,01-Jul-2025-05-23-30,"(-17.0, 3.31)",251,True,124,34.6138153076172,0.932453856
suave metacontrol,01-Jul-2025-16-49-02,"(-17.0, 3.31)",251,True,123,35.1135902404785,1.076821758
suave metacontrol,01-Jul-2025-16-54-25,"(-16.99, 3.35)",251,True,121,35.1138153076172,0.987288131
suave metacontrol,01-Jul-2025-16-59-49,"(-17.0, 3.31)",251,True,120,35.1138153076172,1.082201809
suave metacontrol,01-Jul-2025-17-05-17,"(-16.99, 3.17)",251,True,122,32.1142692565918,2.04065025
suave metacontrol,01-Jul-2025-17-10-40,"(-16.99, 3.17)",251,True,122,32.6141929626465,1.022648898
suave metacontrol,01-Jul-2025-17-16-04,"(-17.0, 3.16)",251,True,119,34.1139678955078,0.947222858
suave metacontrol,01-Jul-2025-17-21-27,"(-16.99, 3.21)",251,True,122,35.1138153076172,2.057769729
suave metacontrol,01-Jul-2025-06-01-20,"(-16.99, 3.17)",251,True,121,27.1139621734619,2.012319419
