,none,random,bt,metacontrol,rosa,planta
none,,1.217837835319936e-10,0.9999993963013353,0.9998224484460024,0.9999341226018253,0.6358854839927024
random,0.9999999998893874,,0.99999999998842,0.999999999987999,0.9999999999880524,0.9999999999879147
bt,6.504390389762338e-07,1.2813309118888745e-11,,0.006685230971430111,0.016794860834816513,4.344176465213152e-06
metacontrol,0.00018784758594700204,1.3277120138393189e-11,0.9935869044247719,,0.593644313975964,7.429402580530119e-05
rosa,6.99442232430185e-05,1.321831749395255e-11,0.9838133548660882,0.41210963459308625,,9.907427551100056e-06
planta,0.3696819617309608,1.3370006839159322e-11,0.9999959453974318,0.999930010845438,0.9999907288327029,
