,none,random,bt,metacontrol,rosa,planta
none,,0.9988617838639768,0.999999999597291,0.9999999991089008,0.9999999981000194,0.9999999768682821
random,0.001194276324400266,,0.9996878965605818,0.998700000305794,0.9979392788944337,0.9508534148456389
bt,4.4009039527968856e-10,0.0003299709761921036,,0.050126255961096995,0.008872822161750657,0.00023337836804515668
metacontrol,9.721029791069905e-10,0.0013664643579431204,0.9513854708809854,,0.16752490444597135,0.001784209132352988
rosa,2.069259160797825e-09,0.002161783705266272,0.9914766999041942,0.8361662549101028,,0.0043073941492705265
planta,2.504355331303323e-08,0.05070892787108584,0.9997792422506259,0.998298531726236,0.9958763464450208,
