,none,random,bt,metacontrol,rosa,planta
none,,1.2754061119129204e-11,0.9999999999609575,0.9999999998267564,0.9999999993902583,0.9999977984444562
random,0.9999999999884509,,0.9999999999828251,0.9999999999826313,0.9999999999825394,0.9999999997302416
bt,4.289289441565881e-11,1.9036666533004504e-11,,0.023972998514367527,0.004025199006530191,5.877509186359778e-07
metacontrol,1.897253556504386e-10,1.9250485183911215e-11,0.9768507692428944,,0.19520613234373313,1.2345048706399445e-06
rosa,6.659112269619376e-10,1.9351861072256994e-11,0.9961477548974093,0.808853199419217,,2.046249316621404e-06
planta,2.355783669919046e-06,2.971344475393799e-10,0.9999994546237875,0.9999988520388158,0.9999980943628188,
