mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave random,02-Jul-2025-09-47-37,"(-17.0, 2.8)",251,True,54,3.5,38.783841603
suave random,02-Jul-2025-09-53-00,"(-17.0, 2.8)",251,True,55,0.260923355817795,38.938064089
suave random,02-Jul-2025-09-58-23,"(-16.99, 2.8)",251,True,49,2.82646346092224,23.779331807
suave random,02-Jul-2025-10-03-46,"(-17.0, 2.8)",251,True,57,6.91323184967041,0
suave random,02-Jul-2025-10-09-10,"(-17.0, 3.15)",251,True,206,0,60.7782352255
suave random,02-Jul-2025-10-14-33,"(-17.0, 3.14)",251,True,154,3.5,128.841241305
suave random,02-Jul-2025-10-20-00,"(-17.0, 3.15)",251,True,147,3.5,40.4688188546667
suave random,02-Jul-2025-10-25-23,"(-17.0, 3.15)",251,False,251,0,90.774963485
suave random,02-Jul-2025-10-30-45,"(-16.99, 3.19)",251,True,125,3.5,16.98037560425
suave random,02-Jul-2025-10-36-06,"(-17.0, 3.28)",251,True,163,11,23.1144924563333
suave random,02-Jul-2025-10-41-30,"(-17.0, 3.28)",251,True,67,6.6095118522644,0
suave random,02-Jul-2025-10-46-52,"(-17.0, 3.28)",251,True,136,3.5,53.7132668885
suave random,02-Jul-2025-10-52-16,"(-16.99, 3.32)",251,True,73,3,26.8978418505
suave random,02-Jul-2025-10-57-39,"(-16.99, 3.32)",251,True,246,0,10.1157507315
suave random,02-Jul-2025-11-03-02,"(-17.0, 2.55)",251,True,71,7.10978984832764,23.728963389
suave random,02-Jul-2025-11-08-25,"(-17.0, 2.55)",251,True,65,11.5,27.733634034
suave random,02-Jul-2025-11-13-48,"(-16.99, 2.57)",251,True,57,3.28277015686035,26.4654720085
suave random,02-Jul-2025-11-19-11,"(-16.99, 2.59)",251,False,251,0,36.4257547256667
suave random,02-Jul-2025-11-24-34,"(-17.0, 2.55)",251,True,117,3.47932815551758,25.281680525
suave random,02-Jul-2025-11-29-57,"(-17.0, 3.31)",251,False,251,0,42.2965399035
suave random,02-Jul-2025-11-35-20,"(-16.99, 3.31)",251,True,145,3,13.603326396
suave random,02-Jul-2025-11-40-43,"(-17.0, 3.31)",251,True,155,4,8.3850402204
suave random,02-Jul-2025-11-46-07,"(-16.99, 3.35)",251,True,157,3.5,41.7401264905
suave random,02-Jul-2025-11-51-35,"(-16.99, 3.35)",251,True,126,3,0
suave random,02-Jul-2025-11-56-58,"(-16.99, 3.17)",251,False,251,0,41.8987466195
suave random,02-Jul-2025-12-02-22,"(-16.99, 3.21)",251,True,133,3.5,52.7433212225
suave random,02-Jul-2025-12-07-45,"(-17.0, 3.17)",251,True,162,3.5,57.2773787775
suave random,02-Jul-2025-12-13-08,"(-17.0, 3.16)",251,True,52,3.5,38.821793161
suave random,02-Jul-2025-12-18-31,"(-16.99, 3.17)",251,True,159,3.5,105.826461008
