,none,random,bt,metacontrol,rosa,planta
none,,1.3477741293931084e-11,1.7681877490579597e-13,1.7681877490579597e-13,1.7681877490579597e-13,1.7681877490579597e-13
random,0.9999999999879172,,0.999999919172055,0.999999919172055,0.999999919172055,0.999999919172055
bt,0.999999999999842,8.773842355641953e-08,,1.5099296795810785e-11,1.5099296795810785e-11,1.5099296795810785e-11
metacontrol,0.999999999999842,8.773842355641953e-08,0.9999999999863444,,8.031064541499479e-07,2.786326624227119e-10
rosa,0.999999999999842,8.773842355641953e-08,0.9999999999863444,0.9999992540979916,,2.786326624227119e-10
planta,0.999999999999842,8.773842355641953e-08,0.9999999999863444,0.9999999997463843,0.9999999997463843,
