mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave suave_planta,10-Jul-2025-23-32-36,"(-16.99, 2.83)",250,True,74,18.5,2.8949431904
suave suave_planta,10-Jul-2025-23-38-07,"(-17.0, 2.8)",250,True,51,18,3.533657286
suave suave_planta,10-Jul-2025-23-56-40,"(-17.0, 2.8)",250,True,50,22.6100673675537,3.71439240133333
suave suave_planta,11-Jul-2025-05-19-21,"(-16.99, 2.82)",250,True,51,22.6100673675537,3.23199812366667
suave suave_planta,11-Jul-2025-05-30-15,"(-16.99, 2.81)",250,True,58,17,3.086389979
suave suave_planta,11-Jul-2025-00-08-37,"(-17.0, 3.15)",250,True,119,6,2.2299663115
suave suave_planta,11-Jul-2025-00-14-12,"(-17.0, 3.15)",253,True,132,2,2.06117072271429
suave suave_planta,11-Jul-2025-05-42-17,"(-16.99, 3.17)",250,True,120,6.5,2.353749762
suave suave_planta,11-Jul-2025-00-24-56,"(-16.99, 3.17)",250,True,121,4.5,2.31985402316667
suave suave_planta,11-Jul-2025-05-47-52,"(-16.99, 3.17)",253,True,119,28.6142406463623,2.1358388216
suave suave_planta,11-Jul-2025-06-30-07,"(-17.0, 3.28)",250,True,153,9.5,2.938947891
suave suave_planta,11-Jul-2025-00-48-45,"(-16.99, 3.29)",253,True,150,26.1114597320557,2.5744724786
suave suave_planta,11-Jul-2025-06-35-39,"(-16.99, 3.29)",250,True,150,8,2.816242111
suave suave_planta,12-Jul-2025-20-47-18,"(-17.0, 3.28)",250,True,240,0,1.789918653
suave suave_planta,12-Jul-2025-23-31-06,"(-16.99, 3.28)",253,True,152,10,3.29277473914286
suave suave_planta,11-Jul-2025-01-07-08,"(-16.99, 2.58)",250,True,122,6.5,2.7226599646
suave suave_planta,11-Jul-2025-01-19-06,"(-16.99, 2.58)",250,True,140,6.5,2.56494487785714
suave suave_planta,12-Jul-2025-21-05-30,"(-16.99, 2.58)",250,True,148,7,2.89476846157143
suave suave_planta,12-Jul-2025-21-17-28,"(-17.0, 2.55)",250,True,118,5,2.33071271316667
suave suave_planta,13-Jul-2025-00-13-38,"(-17.0, 2.55)",250,True,122,7.5,2.4681501315
suave suave_planta,11-Jul-2025-01-37-37,"(-16.99, 3.31)",250,True,126,11,2.52154196016667
suave suave_planta,11-Jul-2025-01-43-09,"(-16.99, 3.31)",250,True,127,9.5,2.65750494233333
suave suave_planta,11-Jul-2025-07-12-20,"(-17.0, 3.31)",250,True,125,5.5,2.48637183383333
suave suave_planta,11-Jul-2025-07-17-51,"(-16.99, 3.33)",250,True,128,4.5,2.622417715
suave suave_planta,11-Jul-2025-07-23-23,"(-16.99, 3.33)",250,True,150,4,3.44059930314286
suave suave_planta,11-Jul-2025-02-07-59,"(-16.99, 3.17)",250,True,152,8,2.74095328111111
suave suave_planta,11-Jul-2025-02-19-57,"(-16.99, 3.19)",250,True,151,1,2.73859554266667
suave suave_planta,11-Jul-2025-07-40-52,"(-17.0, 3.17)",250,True,152,7.5,2.70165573677778
suave suave_planta,11-Jul-2025-07-59-19,"(-16.99, 3.19)",253,True,58,55.6142807006836,1.92661750066667
suave suave_planta,12-Jul-2025-21-58-45,"(-16.99, 3.19)",253,True,57,49.612003326416,1.98163618066667
