mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave suave_planta,09-Jul-2025-11-45-41,"(-17.0, 2.79)",250,True,148,4.5,3.16542348866667
suave suave_planta,09-Jul-2025-11-51-12,"(-17.0, 2.79)",250,True,59,2,3.1846122396
suave suave_planta,09-Jul-2025-11-56-45,"(-17.0, 2.79)",250,True,52,14,3.43247172225
suave suave_planta,09-Jul-2025-14-33-57,"(-17.0, 2.8)",250,True,51,2,3.7200952635
suave suave_planta,09-Jul-2025-14-39-28,"(-17.0, 2.8)",250,True,51,18.5,3.7894026595
suave suave_planta,09-Jul-2025-12-02-18,"(-17.0, 3.14)",250,True,122,3,2.24615059557143
suave suave_planta,09-Jul-2025-12-20-40,"(-17.0, 3.14)",250,True,136,2.5,2.3243289115
suave suave_planta,09-Jul-2025-12-26-16,"(-17.0, 3.14)",253,True,135,24.6117362976074,2.27330527471429
suave suave_planta,09-Jul-2025-14-58-10,"(-16.99, 3.15)",250,True,133,5.5,2.392560240125
suave suave_planta,09-Jul-2025-15-03-41,"(-17.0, 3.15)",250,True,141,7.5,2.33147468225
suave suave_planta,09-Jul-2025-15-34-21,"(-16.99, 3.29)",250,True,133,7.5,2.40713957157143
suave suave_planta,09-Jul-2025-12-56-26,"(-17.0, 3.28)",250,True,154,11,3.156461779
suave suave_planta,09-Jul-2025-15-39-53,"(-16.99, 3.3)",250,True,77,1.5,2.4470935498
suave suave_planta,09-Jul-2025-15-45-25,"(-17.0, 3.28)",250,True,140,6,2.49192442257143
suave suave_planta,09-Jul-2025-15-50-57,"(-16.99, 3.31)",250,True,74,17.5,2.2398068784
suave suave_planta,09-Jul-2025-13-02-01,"(-17.0, 2.54)",253,True,124,27.1136837005615,2.809884023
suave suave_planta,09-Jul-2025-13-13-58,"(-16.99, 2.57)",250,True,128,7.5,2.395238862
suave suave_planta,09-Jul-2025-13-19-30,"(-17.0, 2.55)",250,True,123,5.5,2.34576905142857
suave suave_planta,09-Jul-2025-13-25-02,"(-17.0, 2.54)",250,True,121,7.5,2.35297486171429
suave suave_planta,09-Jul-2025-16-15-45,"(-17.0, 2.55)",250,True,123,4.5,2.68227702766667
suave suave_planta,09-Jul-2025-13-30-34,"(-17.0, 3.3)",250,True,154,9,2.577200717
suave suave_planta,09-Jul-2025-13-42-31,"(-17.0, 3.31)",250,True,128,4.5,2.228117587
suave suave_planta,09-Jul-2025-13-48-03,"(-17.0, 3.31)",250,True,158,10,2.77368609988889
suave suave_planta,09-Jul-2025-16-34-27,"(-17.0, 3.31)",250,True,129,11,2.567911364
suave suave_planta,09-Jul-2025-16-39-58,"(-17.0, 3.31)",250,True,139,10.5,2.72376960814286
suave suave_planta,09-Jul-2025-14-00-06,"(-16.99, 3.18)",250,True,66,15,2.49436518816667
suave suave_planta,09-Jul-2025-14-05-38,"(-17.0, 3.17)",250,True,65,5.5,2.5224842095
suave suave_planta,09-Jul-2025-14-17-41,"(-17.0, 3.17)",250,True,58,10.5,2.4448331898
suave suave_planta,09-Jul-2025-17-03-53,"(-16.99, 3.17)",250,True,56,20.9787712097168,2.3657588548
suave suave_planta,09-Jul-2025-17-22-26,"(-16.99, 3.2)",250,True,60,19.2827701568604,2.20081543033333
,,,,AVERAGE,107.933333333333,9.86623204549154,2.63624457844872
,,,,STD,37.9445451382294,6.90713631594536,0.438582254291978
