,none,random,bt,metacontrol,rosa,planta
none,,0.8268825541206952,0.9999999998319494,0.9999999954241492,0.9999999586683331,0.9999999715168874
random,0.17694142750265035,,0.9999392096801222,0.999830009836097,0.9994934245289002,0.9980549352950159
bt,1.8481329635565824e-10,6.456605250785912e-05,,0.08903352398943903,0.016556748888600745,0.0001443085001847477
metacontrol,4.993318487753489e-09,0.0001798876198434868,0.9133268273167251,,0.16996295865229338,0.0022015219128418443
rosa,4.4853712174842536e-08,0.0005338657084030047,0.9840435948012353,0.8337541397076806,,0.014570203316184905
planta,3.094011567151268e-08,0.002038566167204409,0.9998637367748552,0.9978986768546142,0.9859673448520465,
