,none,random,bt,metacontrol,rosa,planta
none,,1.5559457403843982e-05,0.999999999986743,0.9999999998722251,0.9999999993995242,0.999999999794291
random,0.999985424237733,,0.9999999999880524,0.9999999999780242,0.9999999999704313,0.9999999999873607
bt,1.4660348752261564e-11,1.321831749395255e-11,,0.02767611875737687,0.0024161944958193786,1.2376823389970564e-06
metacontrol,1.4060252111380057e-10,2.4280934552710636e-11,0.973252115173131,,0.1451556278918698,7.018410615197419e-05
rosa,6.584429277345469e-10,3.2649522119747894e-11,0.9976928308111687,0.8581912738845485,,0.0005559725216180664
planta,2.2611853087555916e-10,1.3981755541519121e-11,0.9999988490661882,0.9999338949982884,0.9994723290369216,
