mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave none,03-Jul-2025-09-49-21,"(-16.99, 2.84)",251,False,251,0,0
suave none,03-Jul-2025-09-54-45,"(-16.99, 2.8)",251,True,184,16.3913841247559,0
suave none,03-Jul-2025-10-00-08,"(-16.99, 2.8)",251,True,237,1.5,0
suave none,03-Jul-2025-10-05-32,"(-17.0, 2.8)",251,True,228,2.5,0
suave none,03-Jul-2025-10-10-55,"(-17.0, 2.8)",251,True,187,15,0
suave none,03-Jul-2025-10-16-18,"(-16.99, 3.15)",251,True,188,15,0
suave none,03-Jul-2025-10-21-46,"(-17.0, 3.15)",251,True,196,7,0
suave none,03-Jul-2025-10-27-09,"(-17.0, 3.15)",251,True,191,14,0
suave none,03-Jul-2025-10-32-32,"(-17.0, 3.15)",251,True,189,15,0
suave none,03-Jul-2025-10-37-55,"(-17.0, 3.15)",251,True,190,14,0
suave none,03-Jul-2025-10-43-17,"(-17.0, 3.28)",251,True,193,14.5,0
suave none,03-Jul-2025-10-48-40,"(-16.99, 3.32)",251,True,191,13.5,0
suave none,03-Jul-2025-10-54-08,"(-16.99, 3.28)",251,True,191,15,0
suave none,03-Jul-2025-10-59-36,"(-17.0, 3.28)",251,False,251,0,0
suave none,03-Jul-2025-11-04-59,"(-17.0, 3.28)",251,True,190,15.5,0
suave none,03-Jul-2025-11-10-23,"(-16.99, 2.59)",251,True,127,5.5,0
suave none,03-Jul-2025-11-15-46,"(-16.99, 2.59)",251,True,166,8.5,0
suave none,03-Jul-2025-11-21-09,"(-16.99, 2.6)",251,True,154,9,0
suave none,03-Jul-2025-11-26-33,"(-16.99, 2.55)",251,True,163,8,0
suave none,03-Jul-2025-11-31-56,"(-17.0, 2.55)",251,False,251,0,0
suave none,03-Jul-2025-11-37-18,"(-16.99, 3.32)",251,True,129,14,0
suave none,03-Jul-2025-11-42-42,"(-17.0, 3.31)",251,True,160,5.5,0
suave none,03-Jul-2025-11-48-05,"(-16.99, 3.31)",251,True,196,9,0
suave none,03-Jul-2025-11-53-30,"(-16.99, 3.36)",251,True,197,12,0
suave none,03-Jul-2025-11-58-54,"(-17.0, 3.31)",251,True,121,12,0
suave none,03-Jul-2025-12-04-22,"(-17.0, 3.16)",251,True,220,6.5,0
suave none,03-Jul-2025-12-09-45,"(-17.0, 3.16)",251,True,205,2,0
suave none,03-Jul-2025-12-15-09,"(-17.0, 3.16)",251,True,71,3.5,0
suave none,03-Jul-2025-12-20-32,"(-17.0, 3.16)",251,True,191,15,0
suave none,03-Jul-2025-12-25-55,"(-16.99, 3.21)",251,True,192,13.5,0
