,none,random,bt,metacontrol,rosa,planta
none,,2.886006262264412e-11,6.058901985029879e-13,6.058901985029879e-13,6.058901985029879e-13,2.2867943939058336e-12
random,0.9999999999741085,,0.9999999509156677,0.9999999509156677,0.9999999509156677,0.9999980191510541
bt,0.9999999999994597,5.324194895256109e-08,,1.5099296795810785e-11,1.5099296795810785e-11,2.786326624227119e-10
metacontrol,0.9999999999994597,5.324194895256109e-08,0.9999999999863444,,0.0075070663990948775,2.786326624227119e-10
rosa,0.9999999999994597,5.324194895256109e-08,0.9999999999863444,0.9927939083250621,,2.786326624227119e-10
planta,0.9999999999979565,2.1267464810559404e-06,0.9999999997463843,0.9999999997463843,0.9999999997463843,
