mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave random,03-Jul-2025-07-07-42,"(-17.0, 2.8)",251,True,190,0,98.793626143
suave random,03-Jul-2025-07-13-05,"(-17.0, 2.8)",251,True,175,2.5,48.768024178
suave random,03-Jul-2025-07-18-29,"(-16.99, 2.8)",251,True,132,3,32.4715147076667
suave random,03-Jul-2025-07-23-51,"(-17.0, 2.8)",251,True,149,1.5,27.2671369255
suave random,03-Jul-2025-07-29-14,"(-17.0, 2.8)",251,True,52,7.5,0
suave random,03-Jul-2025-07-34-37,"(-16.99, 3.19)",251,False,251,0,0
suave random,03-Jul-2025-07-40-00,"(-17.0, 3.14)",251,True,199,2.5,128.73366852
suave random,03-Jul-2025-07-45-24,"(-17.0, 3.15)",251,False,251,0,83.782208929
suave random,03-Jul-2025-07-50-52,"(-17.0, 3.15)",251,True,179,3.5,40.569532177
suave random,03-Jul-2025-07-56-15,"(-17.0, 3.14)",251,False,251,0,35.5222856363333
suave random,03-Jul-2025-08-01-38,"(-17.0, 3.28)",251,False,251,0,53.8321407825
suave random,03-Jul-2025-08-07-00,"(-17.0, 3.28)",251,True,82,2,23.757192029
suave random,03-Jul-2025-08-12-23,"(-16.99, 3.3)",251,True,207,6,30.8072463056667
suave random,03-Jul-2025-08-17-46,"(-16.99, 3.28)",251,False,251,0,27.88944512775
suave random,03-Jul-2025-08-23-09,"(-17.0, 3.27)",251,True,72,2.5,19.2767066615
suave random,03-Jul-2025-08-28-33,"(-16.99, 2.55)",251,True,95,11,22.878815327
suave random,03-Jul-2025-08-33-55,"(-16.99, 2.59)",251,True,73,3,14.822051788
suave random,03-Jul-2025-08-39-17,"(-17.0, 2.55)",251,False,251,0,65.282276858
suave random,03-Jul-2025-08-44-41,"(-16.99, 2.57)",251,True,140,4,15.9047431976667
suave random,03-Jul-2025-08-50-04,"(-17.0, 2.55)",251,True,102,3,87.7778368
suave random,03-Jul-2025-08-55-32,"(-16.99, 3.35)",251,True,101,10.5,5.3183719095
suave random,03-Jul-2025-09-00-55,"(-17.0, 3.31)",251,True,120,3,68.759856911
suave random,03-Jul-2025-09-06-18,"(-17.0, 3.31)",251,True,145,3.5,10.1598204405
suave random,03-Jul-2025-09-11-42,"(-17.0, 3.31)",251,True,249,0,53.232969664
suave random,03-Jul-2025-09-17-04,"(-16.99, 3.36)",251,True,104,10,12.923068405
suave random,03-Jul-2025-09-22-27,"(-17.0, 3.16)",251,True,207,3,38.086962067
suave random,03-Jul-2025-09-27-50,"(-16.99, 3.17)",251,True,82,2.5,0
suave random,03-Jul-2025-09-33-12,"(-16.99, 3.17)",251,True,164,6.5,47.935324448
suave random,03-Jul-2025-09-38-35,"(-17.0, 3.17)",251,False,251,0,23.9328907325
suave random,03-Jul-2025-09-43-58,"(-16.99, 3.21)",251,False,251,0,113.70388849
